record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
IR-2003-0041__CMZ__0,IR-2003-0041,CMZ,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2003-0041&station=CMZ&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2003-0041&station=CMZ&data-type=ACC,2026-03-17T07:32:58.817308+00:00
TK-2004-0080__4802__0,TK-2004-0080,4802,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=TK-2004-0080&station=4802&data-type=ACC,downloaded,200,,,2026-03-17T07:32:58.983758+00:00
EMSC-20161026_0000095__T1212__0,EMSC-20161026_0000095,T1212,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=T1212&data-type=ACC,downloaded,200,,,2026-03-17T07:32:59.236245+00:00
IR-2004-0043__CGG__0,IR-2004-0043,CGG,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=CGG&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=CGG&data-type=ACC,2026-03-17T07:32:59.303545+00:00
EMSC-20161026_0000077__MNF__0,EMSC-20161026_0000077,MNF,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000077&station=MNF&data-type=ACC,downloaded,200,,,2026-03-17T07:32:59.575991+00:00
EMSC-20161030_0000029__BGR__0,EMSC-20161030_0000029,BGR,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=BGR&data-type=ACC,downloaded,200,,,2026-03-17T07:32:59.974873+00:00
IR-2004-0043__GAR__0,IR-2004-0043,GAR,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=GAR&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=GAR&data-type=ACC,2026-03-17T07:33:00.128393+00:00
IR-2004-0043__TEH22__0,IR-2004-0043,TEH22,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=TEH22&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=TEH22&data-type=ACC,2026-03-17T07:33:15.057665+00:00
IT-1980-0012__BGI__0,IT-1980-0012,BGI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0012&station=BGI&data-type=ACC,downloaded,200,,,2026-03-17T07:33:15.769296+00:00
EMSC-20161030_0000029__TRE1__0,EMSC-20161030_0000029,TRE1,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=TRE1&data-type=ACC,downloaded,200,,,2026-03-17T07:33:16.062871+00:00
